1	3826429559561566	0	"重口味女青年"	"大家好 刚看到一条温馨提示：愚人节表白简直弱爆了 清明节表白才是王道 因为 万一被拒绝 可以说 不好意思 刚才被附体了[呵呵]"	-1	"1,2,16,17"	0	-1	"123"	-1	"cherryQS"	NULL	1	1	29
2	3826429559561566	1	"神蜀黍"	"那男生们注意了，如果母亲节有女生像你表白，你可稳住了，小心喜当爹了！"	0	""	1	0	"123"	0	"cherryQS"	NULL	1	1	29
3	3826429559561566	2	"爱吃蜜糖的孩纸"	"于是隐喻为“鬼才跟你表白”[doge]"	0	"3"	1	0	"123"	-1	"cherryQS"	0	1	1	29
4	3826429559561566	3	"大绵羊BOBO"	"哈哈哈需要的get一下！"	2	"4,5"	2	0	"123"	0	"cherryQS"	NULL	1	1	29
5	3826429559561566	4	"敌敌木有畏"	"转需[doge]失败了还可以顺便给自己点个蜡[蜡烛]"	3	""	3	0	"123"	0	"cherryQS"	NULL	1	1	29
6	3826429559561566	5	"孔连顺"	"哈哈哈哈哈别这样好吓人"	3	"6,14"	3	0	"123"	-1	"cherryQS"	0	1	1	29
7	3826429559561566	6	"鞭鞭于白水"	"学会了！"	5	"7"	4	0	"123"	0	"cherryQS"	NULL	1	1	29
8	3826429559561566	7	"一蚊丁"	"哈哈哈我要用"	6	"8,10,12"	5	0	"123"	0	"cherryQS"	NULL	1	1	29
9	3826429559561566	8	"虎哥酷得嘞"	"这样！要是有人跟我表白，我就使劲一巴掌飞过去然后说我以为你被附体了想打醒你。"	7	"9"	6	0	"123"	0	"cherryQS"	NULL	1	1	29
10	3826429559561566	9	"每天都要努力幸福的小狮子"	"Get技能也没机会用[拜拜][拜拜]"	8	""	7	0	"123"	-1	"cherryQS"	-1	1	1	29
11	3826429559561566	10	"魏延不说话"	"愚人节表白就是脑子里进翔了"	7	"11"	6	-1	"123"	-1	"cherryQS"	NULL	1	1	29
12	3826429559561566	11	"心水颜君"	"但愚人节却是调戏男神的好时机……我可没说调戏就是要你们脑残的去告白[拜拜]"	10	""	7	-1	"123"	-1	"cherryQS"	NULL	1	1	29
13	3826429559561566	12	"首领之傲金三胖"	"就是说鬼才会喜欢你[笑cry]"	7	"13"	6	0	"123"	-1	"cherryQS"	0	1	1	29
14	3826429559561566	13	"我是蒋纯洁Orz"	"哈哈哈哈"	12	""	7	0	"123"	0	"cherryQS"	NULL	1	1	29
15	3826429559561566	14	"回忆专用小马甲"	"实用转需"	5	"15"	4	1	"123"	0	"cherryQS"	1	1	1	29
16	3826429559561566	15	"-VISBEE-"	"哈哈哈哈哈哈哈哈新技能转需"	14	""	5	1	"123"	0	"cherryQS"	1	1	1	29
17	3826429559561566	16	"酒消残意与君曰三生共与"	"@Deer-17 哈哈哈哈哈哈哈哈哈哈哈哈妈呀"	0	""	1	0	"123"	0	"cherryQS"	NULL	1	1	29
18	3826429559561566	17	"夜色难殇"	"哈哈哈哈哈哈好"	0	""	1	1	"123"	1	"cherryQS"	NULL	1	1	29
